Year,Quarter,client_lobby_actor_id,client_name,LDA_frequency
2012,4,18384,Airlines for America Inc.,6
2013,3,18384,Airlines for America Inc.,5
2014,2,18384,Airlines for America Inc.,5
2015,1,18384,Airlines for America Inc.,6
2015,4,18384,Airlines for America Inc.,6
2016,3,18384,Airlines for America Inc.,8
2017,2,18384,Airlines for America Inc.,9
2018,1,18384,Airlines for America Inc.,9
2018,4,18384,Airlines for America Inc.,9
2019,3,18384,Airlines for America Inc.,8
2020,2,18384,Airlines for America Inc.,7
2021,1,18384,Airlines for America Inc.,7
2010,2,20225,GSK plc,7
2011,1,20225,GSK plc,8
2011,4,20225,GSK plc,8
2012,3,20225,GSK plc,8
2013,2,20225,GSK plc,7
2014,1,20225,GSK plc,8
2010,3,29779,American Medical Association,4
2011,2,29779,American Medical Association,5
2012,1,29779,American Medical Association,5
2012,4,29779,American Medical Association,5
2013,3,29779,American Medical Association,5
2014,2,29779,American Medical Association,5
2015,1,29779,American Medical Association,6
2012,4,36150,Prudential Financial Inc.,12
2013,3,36150,Prudential Financial Inc.,12
2014,2,36150,Prudential Financial Inc.,14
2015,1,36150,Prudential Financial Inc.,14
2015,4,36150,Prudential Financial Inc.,14
2016,3,36150,Prudential Financial Inc.,14
2017,2,36150,Prudential Financial Inc.,15
2018,1,36150,Prudential Financial Inc.,12
2018,4,36150,Prudential Financial Inc.,13
2019,3,36150,Prudential Financial Inc.,13
2020,2,36150,Prudential Financial Inc.,12
2021,1,36150,Prudential Financial Inc.,13
2021,4,36150,Prudential Financial Inc.,12
2022,3,36150,Prudential Financial Inc.,10
2023,2,36150,Prudential Financial Inc.,11
2024,1,36150,Prudential Financial Inc.,11
2010,2,46079,Gilead Sciences Inc.,5
2011,1,46079,Gilead Sciences Inc.,5
2011,4,46079,Gilead Sciences Inc.,5
2021,3,57099,Business Roundtable Inc.,14
2022,2,57099,Business Roundtable Inc.,14
2023,1,57099,Business Roundtable Inc.,14
2023,4,57099,Business Roundtable Inc.,14
2024,3,57099,Business Roundtable Inc.,16
2024,4,61524,American Fuel & Petrochemical Manufacturers,7
2013,4,68834,CVS Health,5
2014,3,68834,CVS Health,5
2015,2,68834,CVS Health,5
2016,1,68834,CVS Health,7
2016,4,68834,CVS Health,7
2017,3,68834,CVS Health,7
2018,2,68834,CVS Health,8
2019,1,68834,CVS Health,13
2019,4,68834,CVS Health,13
2020,3,68834,CVS Health,11
2021,2,68834,CVS Health,10
2022,1,68834,CVS Health,11
2014,4,87012,American Association for Justice,5
2015,3,87012,American Association for Justice,6
2016,2,87012,American Association for Justice,7
2017,1,87012,American Association for Justice,6
2017,4,87012,American Association for Justice,7
